question,answer
which movie did Russell Crowe win for Best Actor of Oscar in 2001?,Gladiator
who did president Bush run against in 2004?,John Kerry
who was governor of Texas in 2003?,Rick Perry
Which album did Fleetwood Mac release in april 2003?,Say You Will
which movie did Rob Minkoff direct in 2002?,Stuart Little 2
who was the prime minister of Pakistan in 1999?,Nawaz Sharif
who was the prime minister of Canada in 1998?,Jean Chrétien
who was the governor of Missouri in 1996?,Mel Carnahan
who played neurologist Oliver Sacks in the 1990 film Awakenings? ,Robin William
which movie did Atom Egoyan direct in 1991?,The Adjuster
who played will Scarlett in the 1991 Robin Hood?,Christian Slater
who won the National Championship in college football in 1992?,Alabama
what was the strongest storm in the 1992 Atlantic hurricane season?,Hurricane Andrew
who was the vice president of Bill Clinton during 1995?,Al Gore
who was the leader of the nation of Islam in 1996?,Louis Farrakhan
who was the head coach of the Dallas Cowboys in 1996?,Barry Switzer
Which president of Indonesia was arrested in 2000?,Suharto
How many people were killed in Concorde crash in 2000?,113
Which president was assassinated by bodyguard in 2001?,Laurent Kabila
What collided with Japanese fishing boat in 2001?,submarine Greeneville
How many Oscars did Gladiator take in 2001?,Five
Who won Best Director of Oscar in 2001?,Steven Soderbergh
Who won the Nobel Prize for Literature in 2000 ?,Gao Xingjian
Who won the Nobel Prize for Literature in 2001 ?,V. S. Naipaul
Which space shuttle exploded in 2003?,  Columbia
Which President was forced to resign by armed rebels in 2004?,President Aristide
Who caused the train bombings in Spain in 2004?,Al Qaeda
Which hurricane was the most terrible hurricane that hit Florida in 2004,Hurricane Jeanne
Who was nominated for a U.S. Federal Reserve Chairman in 2000?,Alan Greenspan
Which flight crashed in the Pacific Ocean in 2000?,Alaska Airlines Flight 261
Where did Alaska Airlines Flight 261 crash in 2000?,Pacific Ocean
which city held the Expo in 2000?,Hanover
How many people were killed by Michael McDermott in 2000?,seven
Who signed the Rome Statute of the International Criminal Court in 2000?,Bill Clinton
How many people aboard were killed in American Airlines Flight accident in 2001?,260
Where did TWA Flight 800 crash into 1996?,Atlantic Ocean
Which telescope launched during a Space Shuttle Discovery mission in 1990?,Hubble Space Telescope
Who accused President Clinton of sexual harassment in 1994?,Paula Corbin Jones
